customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9857-CZJIZ,Female,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),89.56,1778.31,No
6746-ITXGA,Male,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),29.84,500.79,No
6183-YDLMJ,Female,1,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),61.99,289.41,No
4126-TEPJZ,Male,0,Yes,No,31,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),107.48,3303.14,Yes
4889-IVXNN,Female,1,No,No,60,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),109.66,6550.81,No
0512-TFORB,Male,0,No,No,8,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,111.09,890.65,Yes
4792-BAHGX,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,103.58,5402.63,No
8270-FKWCX,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,53.18,346.93,Yes
1196-TVLPM,Female,0,No,Yes,44,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),108.69,4725.03,No
3885-TBGIA,Female,1,Yes,No,44,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),54.36,2336.45,No
8424-YZRRH,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),76.34,459.77,No
3317-XHKIB,Female,1,No,No,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,106.81,2453.49,Yes
9459-IYSDH,Female,1,Yes,Yes,30,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,37.72,1180.44,No
9681-AAFZU,Male,0,No,Yes,62,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),118.75,7326.24,No
9703-TDYCD,Male,0,Yes,No,21,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,105.87,2216.33,No
3737-VJXTQ,Male,0,Yes,No,0,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,22.69,22.69,Yes
1248-QLGOT,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,112.98,525.75,No
9295-IPXTW,Female,0,Yes,No,61,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Mailed check,102.06,6208.34,No
5996-FGHYW,Female,0,No,No,2,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.13,198.8,No
4075-SHPJM,Male,1,No,No,50,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),71.28,3541.17,No
7659-YCNEV,Female,0,No,Yes,60,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,112.62,6718.08,No
6766-TJFSE,Female,0,No,Yes,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),47.82,63.81,Yes
8127-TXFFV,Male,0,No,No,54,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,92.53,4973.56,No
8496-BFLPJ,Female,0,Yes,No,0,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,95.03,95.03,No
6567-RFYUH,Male,1,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,106.16,6885.92,No
0893-MIYPS,Female,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,95.65,640.18,No
8249-LOLXZ,Female,1,No,Yes,62,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,74.05,4628.37,No
6279-KKOEU,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,72.72,72.72,No
6595-YRFPI,Male,1,No,Yes,35,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),113.5,3992.24,No
6506-NJLKP,Female,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),116.06,7409.99,No
1841-HFBTY,Male,0,Yes,Yes,19,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),73.49,1400.38,No
9607-FCOGE,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),67.02,219.59,No
3184-ATFJS,Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,62.78,309.47,No
1612-NJOAZ,Female,0,No,No,27,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),81.41,2221.99,No
4264-WHCML,Female,0,Yes,Yes,26,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),63.12,1664.22,No
9019-CQCNI,Male,0,Yes,Yes,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,102.88,1510.28,No
7518-WHRTV,Male,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),69.65,2272.7,No
5950-JDXIX,Male,0,No,Yes,24,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),118.75,2898.71,No
3193-VHXXF,Male,0,No,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,116.91,3447.53,Yes
1670-CVGFJ,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,118.75,5086.84,No
6348-KJHUV,Female,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,99.53,2121.62,No
6809-WAYAT,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.59,169.57,Yes
1434-DBVNM,Female,0,No,No,16,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),29.53,482.73,Yes
8542-FOGDO,Female,0,No,No,22,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),69.86,1474.07,No
6239-SOXYT,Female,0,No,No,13,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,118.75,1520.37,Yes
8333-YTRSF,Female,0,Yes,No,64,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),85.59,5404.56,No
7857-BICGH,Male,1,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,92.24,3844.58,Yes
3132-QQNKD,Female,0,No,No,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27.78,1685.74,No
1956-IILLA,Male,0,No,No,2,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,114.71,249.24,Yes
3108-QXARD,Male,0,Yes,Yes,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,116.76,2758.27,Yes
9150-SLXIC,Female,0,Yes,No,7,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,48.25,382.66,Yes
1998-CJDZC,Male,0,No,No,56,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,55.73,3076.78,No
9479-ZHARW,Male,0,No,No,27,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,72.12,2042.45,No
7191-EBKMW,Male,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,94.7,6020.21,No
8178-UJDJG,Female,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),93.03,2241.26,No
3842-AJACV,Male,0,No,No,52,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,62.89,3315.41,No
0458-FJVKI,Male,0,No,No,54,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,118.75,6420.94,No
9225-ZMAQP,Male,1,No,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,118.75,386.12,Yes
2264-NRHWM,Female,1,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,62.91,1533.45,No
1174-IMIKX,Male,1,No,No,44,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,104.78,4569.82,No
7322-NNEIQ,Male,1,No,No,27,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.35,2208.48,Yes
5120-FCZFT,Male,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),37.56,426.68,No
2568-UEESP,Female,0,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),46.94,1325.62,No
5096-LDPBL,Female,0,No,Yes,38,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),19.11,757.91,No
5397-VSNVH,Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),60.33,716.28,Yes
6039-UTZCR,Male,0,No,Yes,48,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,55.22,2692.9,No
9225-MQRHV,Male,1,No,Yes,1,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,85.06,160.43,Yes
2382-USKGD,Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,51.38,545.78,Yes
6412-ICNDT,Female,0,Yes,No,17,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,47.14,787.92,Yes
1779-PIJCC,Female,0,No,No,26,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),75.89,1980.16,No
0047-TXGDG,Male,0,Yes,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.11,1752.12,Yes
0477-SRTDO,Male,0,No,No,51,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),75.41,3766.59,No
6992-NSQLE,Female,0,Yes,No,46,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),41.23,1797.31,No
7302-YAJAA,Female,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,52.9,121.47,Yes
6905-QZLHE,Male,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.06,1496.85,No
4608-VGJPP,Female,1,No,No,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),118.75,293.33,No
7805-PCUHV,Female,0,No,No,37,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),118.75,4379.04,No
6427-QJLIJ,Male,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),82.89,4360.46,No
4777-CEMVR,Female,0,Yes,Yes,30,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),93.29,2784.91,No
8525-SFJAX,Male,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.43,266.71,Yes
2858-RCBWM,Male,0,No,No,14,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),67.88,886.06,Yes
2586-MLVXV,Female,1,No,No,21,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),109.77,2299.31,No
3075-IQBIV,Female,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),106.43,4431.16,No
9903-WQLDF,Male,0,Yes,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),95.09,3181.61,No
5755-RDJIH,Female,0,No,No,31,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,65.54,1954.71,No
3355-ITIGA,Male,0,Yes,No,71,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),79.17,5654.77,No
1850-WLESF,Female,0,Yes,No,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,56.52,240.57,Yes
3786-VZLBP,Male,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,76.34,2299.81,No
4829-QWPBB,Female,1,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,42.17,599.87,No
2015-YKIAM,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),118.75,167.43,No
4173-UMEHA,Female,0,No,No,8,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,54.17,420.75,No
8318-XJXII,Female,0,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,66.08,2615.62,No
0869-WXHNG,Male,0,No,No,26,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,107.39,2805.41,Yes
4942-ILNTV,Female,1,No,No,5,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,109.91,597.43,Yes
3669-XFXOY,Male,0,No,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),32.58,463.96,No
0729-BPCZV,Female,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,29.27,276.94,No
5475-YMRSD,Female,0,No,No,25,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),86.89,2146.74,No
3103-RFMUE,Male,0,Yes,Yes,17,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),48.97,837.75,No
4377-EMTRK,Female,0,Yes,No,39,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),20.95,812.95,No
5622-HIOJR,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),78.83,353.04,No
9685-CWCUP,Male,0,No,Yes,71,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),65.79,4744.92,No
0544-MPILB,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,114.38,226.36,Yes
9929-PELAH,Male,0,No,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),102.0,2700.58,Yes
8674-UWPUO,Male,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),94.63,6191.5,No
1007-DSTVZ,Male,0,No,No,63,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,Yes,Mailed check,95.62,6038.5,No
7942-BONUQ,Female,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),62.65,833.37,No
6058-DRJVK,Female,0,No,No,52,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),40.33,2101.63,No
9688-KDBAC,Male,0,No,Yes,0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),57.09, ,No
7647-NUJZS,Female,0,No,No,52,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),93.05,4894.47,No
7391-LNFZN,Female,0,No,Yes,58,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),31.04,1774.3,No
7015-TKGIR,Male,0,No,No,20,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed check,49.49,1094.9,No
1941-UFMRH,Female,1,Yes,No,33,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,No,Credit card (automatic),103.49,3403.33,No
3875-CSEBW,Female,0,Yes,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,75.42,5071.81,No
6137-THPON,Female,0,No,No,14,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),25.54,276.89,No
9156-DAHLP,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),109.91,4342.07,No
6129-AIGHJ,Female,0,Yes,No,48,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.82,1398.32,Yes
0564-JRSOO,Male,0,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,62.1,1359.91,No
2800-KBITJ,Female,0,No,No,11,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),70.77,729.72,No
8457-QBWYV,Female,0,No,Yes,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),68.16,3438.87,No
8773-DPYIJ,Male,0,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),26.69,1868.56,No
1701-ETELO,Female,1,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,78.12,320.68,Yes
7905-FFRTM,Male,0,Yes,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),58.55,2415.63,No
3089-QEPEE,Male,0,No,No,36,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),118.75,4291.34,No
6012-LEXGJ,Male,1,Yes,No,38,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),111.04,4234.29,No
5829-UMDSF,Female,1,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),52.46,547.34,No
4540-CFHBN,Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,65.68,896.92,No
6181-UJBGZ,Male,0,No,No,53,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),95.63,5073.16,No
2610-HBWCR,Male,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),95.61,4106.19,No
9232-DJAHE,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),54.85,821.44,No
2597-ITHBG,Female,0,No,Yes,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,75.03,137.99,No
0112-JOLTX,Male,0,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,95.34,95.34,Yes
9734-HNNJC,Male,0,No,No,13,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),65.13,842.48,No
0209-LVSIB,Female,0,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,64.04,1575.55,Yes
5769-JTBUP,Male,0,No,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,40.62,1496.14,No
5888-TDBGI,Female,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,38.39,188.62,Yes
1918-AFRLV,Male,0,No,Yes,19,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,91.55,1776.18,No
3379-DYWNC,Female,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),37.3,1936.51,No
0111-QKNJN,Male,1,Yes,No,42,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),52.69,2225.34,No
4666-JHBPX,Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),59.71,640.59,No
9910-ACBXD,Female,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.27,149.53,Yes
4996-BFIWY,Male,0,Yes,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),108.23,2311.44,No
0724-FSGZV,Female,0,Yes,No,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),71.91,199.21,No
0535-ORQUR,Female,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,28.23,31.46,No
3315-RCSEV,Female,0,No,No,54,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,100.72,5440.27,No
7077-JNBFT,Female,0,No,Yes,12,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,46.97,584.25,Yes
1349-FWRDL,Female,0,No,No,28,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),33.33,974.0,No
4300-GLNTU,Male,0,No,No,64,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),104.04,6666.59,No
8346-IKOQJ,Male,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,88.81,1789.47,Yes
5380-WREPL,Male,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.13,583.2,No
7846-BHLMI,Female,1,No,Yes,23,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),31.12,707.01,No
3117-OXYVI,Male,0,Yes,No,8,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,75.56,574.89,Yes
9858-GXWAA,Male,0,No,Yes,37,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,37.43,1337.18,No
